cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
31080,"Los Angeles, Long Beach, Anaheim",CA,428,233,30,143,22
40140,"Riverside, San Bernardino, Ontario",CA,304,151,13,128,12
41860,"San Francisco, Oakland, Hayward",CA,68,33,5,23,7
41740,"San Diego, Carlsbad",CA,51,25,3,16,7
41940,"San Jose, Sunnyvale, Santa Clara",CA,27,14,0,12,1
20940,El Centro,CA,26,16,0,8,2
47300,"Visalia, Porterville",CA,19,0,0,18,1
42660,"Seattle, Tacoma, Bellevue",WA,14,1,3,3,7
40900,"Sacramento, Roseville, Arden-Arcade",CA,13,1,0,8,4
26420,"Houston, The Woodlands, Sugar Land",TX,11,4,5,1,1
37100,"Oxnard, Thousand Oaks, Ventura",CA,10,2,4,3,1
25260,"Hanford, Corcoran",CA,10,1,0,9,0
16980,"Chicago, Naperville, Elgin","IL, IN, WI",7,4,2,0,1
12540,Bakersfield,CA,5,0,0,4,1
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,5,1,4,0,0
44700,"Stockton, Lodi",CA,4,0,0,3,1
23420,Fresno,CA,4,0,0,2,2
12060,"Atlanta, Sandy Springs, Roswell",GA,4,1,3,0,0
35620,"New York, Newark, Jersey City","NY, NJ, PA",4,0,3,0,1
38900,"Portland, Vancouver, Hillsboro","OR, WA",4,2,1,0,1
36740,"Orlando, Kissimmee, Sanford",FL,3,2,1,0,0
42220,Santa Rosa,CA,2,0,0,1,1
46700,"Vallejo, Fairfield",CA,2,1,0,1,0
49340,Worcester,"MA, CT",2,0,2,0,0
46520,Urban Honolulu,HI,2,0,1,0,1
19100,"Dallas, Fort Worth, Arlington",TX,2,1,1,0,0
38060,"Phoenix, Mesa, Scottsdale",AZ,2,2,0,0,0
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",2,0,1,0,1
34900,Napa,CA,2,0,0,2,0
39820,Redding,CA,2,0,0,2,0
49700,Yuba City,CA,2,0,0,2,0
41500,Salinas,CA,2,0,0,2,0
26860,Indiana,PA,1,0,1,0,0
39300,"Providence, Warwick","RI, MA",1,0,1,0,0
44140,Springfield,MA,1,0,1,0,0
45860,Torrington,CT,1,0,1,0,0
46060,Tucson,AZ,1,0,0,0,1
28180,Kapaa,HI,1,0,1,0,0
27980,"Kahului, Wailuku, Lahaina",HI,1,1,0,0,0
44060,"Spokane, Spokane Valley",WA,1,0,0,0,1
22380,Flagstaff,AZ,1,1,0,0,0
25900,Hilo,HI,1,1,0,0,0
33700,Modesto,CA,1,0,0,1,0
32900,Merced,CA,1,0,0,1,0
45000,Susanville,CA,1,0,0,1,0
42020,"San Luis Obispo, Paso Robles, Arroyo Grande",CA,1,0,0,1,0
42200,"Santa Maria, Santa Barbara",CA,1,0,0,1,0
43760,Sonora,CA,1,0,0,1,0
17020,Chico,CA,1,0,0,1,0
46380,Ukiah,CA,1,0,0,1,0
21700,"Eureka, Arcata, Fortuna",CA,1,0,0,1,0
42100,"Santa Cruz, Watsonville",CA,1,0,0,1,0
