univ_id,univ_name,num_visits_in,num_pubHS_in,num_privHS_in,num_cc_in,num_pub4yr_in,num_psi_in,num_other_in,num_visits_out,num_pubHS_out,num_privHS_out,num_cc_out,num_pub4yr_out,num_psi_out,num_other_out,num_visits_all,num_pubHS_all,num_privHS_all,num_cc_all,num_pub4yr_all,num_psi_all,num_other_all,unique_pubHS_in,unique_pubHS_out,unique_pubHS_all,unique_privHS_in,unique_privHS_out,unique_privHS_all,med_income_visit_in,med_income_visit_out,med_income_nonvisit_in,med_income_nonvisit_out,income_lt50k_visit_in,income_50kto74k_visit_in,income_75kto99k_visit_in,income_100kto149k_visit_in,income_150kto199k_visit_in,income_gt200k_visit_in,income_lt50k_visit_out,income_50kto74k_visit_out,income_75kto99k_visit_out,income_100kto149k_visit_out,income_150kto199k_visit_out,income_gt200k_visit_out,income_lt50k_nonvisit_in,income_50kto74k_nonvisit_in,income_75kto99k_nonvisit_in,income_100kto149k_nonvisit_in,income_150kto199k_nonvisit_in,income_gt200k_nonvisit_in,income_lt50k_nonvisit_out,income_50kto74k_nonvisit_out,income_75kto99k_nonvisit_out,income_100kto149k_nonvisit_out,income_150kto199k_nonvisit_out,income_gt200k_nonvisit_out,race_pubHS_white_visit_in,race_pubHS_black_visit_in,race_pubHS_hispanic_visit_in,race_pubHS_asian_visit_in,race_pubHS_amerindian_visit_in,race_pubHS_other_visit_in,race_pubHS_white_visit_out,race_pubHS_black_visit_out,race_pubHS_hispanic_visit_out,race_pubHS_asian_visit_out,race_pubHS_amerindian_visit_out,race_pubHS_other_visit_out,race_pubHS_white_nonvisit_in,race_pubHS_black_nonvisit_in,race_pubHS_hispanic_nonvisit_in,race_pubHS_asian_nonvisit_in,race_pubHS_amerindian_nonvisit_in,race_pubHS_other_nonvisit_in,race_pubHS_white_nonvisit_out,race_pubHS_black_nonvisit_out,race_pubHS_hispanic_nonvisit_out,race_pubHS_asian_nonvisit_out,race_pubHS_amerindian_nonvisit_out,race_pubHS_other_nonvisit_out,race_privHS_white_visit_in,race_privHS_black_visit_in,race_privHS_hispanic_visit_in,race_privHS_asian_visit_in,race_privHS_amerindian_visit_in,race_privHS_other_visit_in,race_privHS_white_visit_out,race_privHS_black_visit_out,race_privHS_hispanic_visit_out,race_privHS_asian_visit_out,race_privHS_amerindian_visit_out,race_privHS_other_visit_out,race_privHS_white_nonvisit_in,race_privHS_black_nonvisit_in,race_privHS_hispanic_nonvisit_in,race_privHS_asian_nonvisit_in,race_privHS_amerindian_nonvisit_in,race_privHS_other_nonvisit_in,race_privHS_white_nonvisit_out,race_privHS_black_nonvisit_out,race_privHS_hispanic_nonvisit_out,race_privHS_asian_nonvisit_out,race_privHS_amerindian_nonvisit_out,race_privHS_other_nonvisit_out
196097_req,Stony Brook University,428,312,40,18,4,16,38,644,467,98,4,7,9,59,1072,779,138,22,11,25,97,218,385,603,34,77,111,102975.758065,110597.870079,64171.08151,66516.867137,27.15897080170042,14.340082432888835,12.760018590280117,19.60160232086959,11.518625415400049,14.620700438860993,23.443420246193693,14.372158137653814,12.795717683298626,20.6009012159281,11.94058431509145,16.847218401834343,41.50333247209631,17.43697684697508,12.840251860002065,15.007187099973606,6.203814577384455,7.008437143568471,38.54478360806476,18.204685648727548,13.610648931982588,16.20667568524261,6.788646012715952,6.644560113266546,44.36849160043441,13.746196469279864,25.24957358058593,15.194228743440641,0.3427661982304002,1.098743408028752,61.35175621071949,12.821268731655277,12.665206151850548,10.427817832406847,0.1947557814092064,2.5391952919586314,51.24055979480374,20.439002985905244,21.14391920575634,5.200897555267786,0.6697774305518395,1.3058430277150512,52.42916140714463,22.23044752384394,18.670324157311818,3.746682116251631,0.281550311283895,2.6418344841640824,61.70391884497201,13.705434187818327,12.758344908868965,8.086037799385444,0.3241149976848929,3.4221492612703623,66.76493824305837,7.751893173015781,12.873576507312562,8.241324161319536,0.36418290074570786,4.004085014548047,78.64337014394386,5.688544594668431,6.537880121663217,5.371637414474523,0.09895760607587559,3.6596101191740984,69.06018534736089,11.005632037614383,9.502263324030935,6.333220459048041,0.29094320088119785,3.8077556310645604
186380_req,Rutgers University-New Brunswick,657,456,74,74,5,9,39,941,551,223,23,12,16,116,1598,1007,297,97,17,25,155,241,439,680,51,182,233,97701.518908,112651.322654,83445.531447,65771.857507,27.95823106227177,15.129806148632063,12.826013495911578,19.354941741687096,10.760821220703386,13.970186330794101,21.820076603640263,13.713214454645167,12.526424049193679,20.603569974903866,12.502133472691618,18.83458144492542,32.44362862906679,16.235197461670147,13.30171190231814,19.26670440887558,9.241037611135859,9.511719986933485,38.84785021759216,18.013697404279345,13.387507480051267,16.096235783920314,6.84232795620303,6.812381157953881,49.812584821524744,15.999942554734567,22.581374808814974,10.458269604991994,0.12350732068101362,1.024320889252709,53.72318855775632,9.964590389253063,17.56824529777297,15.46716557624941,0.2572028807733267,3.019607298194906,52.509290274347116,19.77454134996665,21.370196360118154,5.0926095592708505,0.14805802115324004,1.10530443514399,41.219993315264084,15.104999061724481,35.04397221727255,5.627683418358349,0.455273574115139,2.5480784132653986,61.70891949073902,10.018187892060428,10.593519171522958,11.34330574217735,0.4008759882706655,5.935191715229576,67.84670325124783,8.372859388357279,9.143617461324215,8.709290461351792,0.4129553539420346,5.514574083776853,73.96173913043478,8.34086956521739,5.930434782608696,7.954782608695652,0.09391304347826086,3.7182608695652175,65.52211132483738,8.409498345438308,12.810005059127722,7.941629145915122,0.27751785044470934,5.039238274236759
215293,University of Pittsburgh-Pittsburgh Campus,327,211,51,37,5,10,13,906,559,210,31,16,17,73,1233,770,261,68,21,27,86,185,433,618,44,172,216,78652.713514,113482.743023,59081.980519,63541.023846,31.059143094051862,17.65745063579939,14.993894589650964,19.14668449970051,8.24049231132989,8.902334869467378,21.35446583806154,13.98088628385519,12.70044599504676,20.790255501291018,12.418089316377413,18.755857065368097,42.92266853783896,19.645821654608653,13.995979558378677,14.47493667043812,4.932435512611587,4.028158066124017,40.379244144212734,18.279308666092824,13.394697698226071,15.55092040028763,6.305943748949877,6.089885342230862,77.4650565330244,10.27897289863852,5.319454700620382,4.9272388802172,0.131770365817529,1.8775066216819736,59.03265435091714,10.90889032953982,14.744305645596238,12.15372169166317,0.2258129538731416,2.9346150284104837,66.3513884182842,18.646272004130566,10.695903318973167,2.3369959823805604,0.14263355761008115,1.826806718621424,49.3968381887841,19.07477286481744,24.632858703338027,3.829143143319784,0.4846700062259459,2.581717093514702,76.54758888607381,7.2375643948990795,3.8552487121020182,8.221434000506713,0.34625453931255806,3.791909467105819,72.16851336835445,7.637693315087038,7.3044041260171575,7.909916273046984,0.30533115554966966,4.674141761944702,73.23740697724438,12.517744225061298,4.47799716092399,5.828709080741601,0.1290489095367144,3.8090936464920206,71.08011800355212,8.913348494728766,10.022792158295983,5.8974240230099415,0.26471946620539977,3.8215978542077877
201885_req,University of Cincinnati-Main Campus,556,397,79,16,11,11,42,805,483,198,24,18,19,63,1361,880,277,40,29,30,105,343,395,738,66,160,226,66970.70597,101058.949109,53071.789588,63797.491657,37.844269911576255,18.90422633154392,14.332340364815174,16.676519418311745,6.3884066909155575,5.854237282837348,24.756938219137353,15.086450160308324,13.034004378675638,20.12876902765517,11.19902332730789,15.79481488691562,47.66725237627063,20.072143197085435,13.738649454354762,12.47638826178408,3.4709428231149855,2.5746238873901093,39.66257028868463,18.173337205393096,13.417481930246069,15.699556505830131,6.512002465916029,6.535051603930055,72.11645139858028,17.342141151861753,3.739720061417368,2.577812816901856,0.14146339912705957,4.082411172111683,54.80760528276141,14.746061251627367,14.611973238093249,12.28248988770303,0.25188496000334176,3.2999853798116083,74.5620466121315,16.47486108967433,4.226153727427072,1.0808959716005557,0.13939265318722024,3.5166499459793177,46.24991881452653,16.34661548904219,28.84907652319867,5.652266380044802,0.46012742617215907,2.4419953670156476,80.30527671778917,9.046496366332061,2.66874073353912,3.9253335925916923,0.09722188464623387,3.956930705101718,72.4289838542966,8.079980040631572,6.843924867234558,8.54546102576897,0.2373739173824714,3.8642762946858182,75.0887124028388,13.374450827982427,3.3077053058465697,4.321561338289963,0.08026360256843529,3.8273065224738088,69.06237632200467,8.712301195831227,9.770955649289775,7.212229396924205,0.2869621357081065,4.955175300242015
181464,University of Nebraska-Lincoln,547,446,55,20,5,0,21,874,645,104,26,17,18,64,1421,1091,159,46,22,18,85,217,420,637,30,66,96,63385.185446,85046.661905,62440.321429,60833.32141,37.939292451888804,21.36109092873687,15.252061469265705,16.280079489435504,4.948932508306784,4.218543152366331,28.173660713153026,17.279422705603352,14.821612764377026,20.257024667334235,9.443223705388462,10.025055444143872,43.89562730482437,21.4643780717185,13.425404720470585,14.512565768122599,4.384014463948594,2.318009670915346,40.8959864830442,19.233488352130582,13.940403224600118,15.283755207347108,5.556446387823368,5.089920345054627,71.03396910721803,6.181794631002882,16.236520838055764,2.3444836630938117,1.2046242025841132,2.9986075580454,61.14909864614757,10.668182281875282,17.378131421326454,7.149477549949722,0.6187790553636748,3.036331045337297,84.74254742547426,2.2222222222222223,6.883468834688347,0.43360433604336046,4.254742547425474,1.4634146341463414,55.1882968002265,14.45236473576773,24.018125318027113,3.0523920588753573,0.6681044297093257,2.6207166573939693,87.33047510718347,2.93988975413422,3.911103333624989,4.252340537229854,0.18374310963338875,1.3824481581940677,75.0098499229915,4.520219205558939,10.140047995988395,5.274186038181884,1.341380421934883,3.7143164153443893,84.4200807847663,4.212348528563186,6.982111944604732,1.55799192152337,0.51933064050779,2.308136180034622,71.76288039519935,9.028943285094526,9.3696232728501,5.752240412932645,0.3113883699082724,3.7749242640151155
139959_req,University of Georgia,293,197,67,0,2,1,26,581,281,231,0,7,5,57,874,478,298,0,9,6,83,168,243,411,57,190,247,61506.248503,101887.572314,50122.779592,62265.390529,40.809651551834705,18.396200844056647,12.838991781184236,14.871691243693716,6.224135983399997,6.859328595830698,25.196186904612656,14.722546968792585,12.38289713205915,19.024852859477452,10.898533638094227,17.774982496963933,46.259769036330866,18.910407574423548,12.627235915140183,13.005214863109362,4.964550260188645,4.232822350807389,40.191393680218006,18.23268510720557,13.359136365566556,15.548796322963593,6.3989381486010215,6.269050375445259,43.608797968830096,36.20544201760724,11.64491662596523,5.351599869217201,0.19657785007608813,2.992665668304143,54.46197657861855,10.479566830364494,20.08562655585583,11.447999302589137,0.33843799339396935,3.186392739178024,44.94154039340597,38.55615874061086,11.281134430296394,2.043597773404899,0.2450173426337833,2.932551319648094,46.67856889007793,16.385147738114,28.41294931886701,4.904821945651516,0.902997320675301,2.715514786614237,75.36627335299902,9.063421828908554,7.7015732546706,5.749754178957719,0.07620452310717797,2.0427728613569323,74.20920460167459,5.784031913627795,7.592637821656928,6.7046173308032895,0.5128975895692036,5.196610742668195,73.90021839634683,15.784099611424681,3.2050372975579315,3.332671526221743,0.48217375272995433,3.2957994157188644,67.42445017276367,9.441781385400098,11.009488290462349,7.172379751000932,0.3783250150825426,4.5735753852904075
218663,University of South Carolina-Columbia,250,197,22,2,3,3,23,1247,677,328,15,16,18,193,1497,874,350,17,19,21,216,119,577,696,17,285,302,53132.021186,104676.087826,44721.729412,63135.038017,45.147584104038074,18.990835654981996,13.793306111437625,13.88964826688788,4.619214478674024,3.559411383980386,23.872209250163856,15.057713975326962,13.181162911622623,20.42039165565411,11.44934250764639,16.019179699586044,51.92536569413436,18.3752644194274,11.904598778250284,11.500545189566077,3.396290228236655,2.897935690385214,40.26255091688626,18.352146240590898,13.448648462178255,15.48862716899424,6.282789235113093,6.165237976237245,55.743052676647885,33.865695276024006,5.812033192200785,1.5202897861264213,0.3010676688663409,2.757861400134563,59.398954166799,12.418755499591793,15.735231202371901,8.869592184834858,0.3122740613562951,3.2651928850461545,50.394109279558194,39.8393439879508,6.257216969291273,0.9639360722952054,0.3715170278637771,2.17387666304075,48.98230992944099,16.527691249218307,26.312443000467155,5.115175767078127,0.4819972518834075,2.5803828019120125,82.65520134228188,6.491191275167785,1.9924496644295302,4.771392617449664,0.1572986577181208,3.9324664429530203,73.46071925439838,7.031259618580944,8.42495352301688,6.660264539190459,0.3328285502054016,4.089974514607931,86.70494699646643,6.221605249873801,1.9813225643614336,2.012872286723877,0.5678950025239778,2.5113579000504798,68.61532696271314,9.1478574825961,10.293343999077557,7.024978019918998,0.27123780285668986,4.64725573283752
100751,The University of Alabama,384,150,49,67,9,6,103,3886,2256,914,63,65,79,509,4270,2406,963,130,74,85,612,109,1658,1767,34,669,703,54837.696262,90212.21949,44403.447248,59776.572109,43.617891394161326,18.62853197021397,13.531903402465858,14.44630018828073,5.3598916531848575,4.415481391693267,28.65914639946792,16.436528258408117,13.72339988503574,19.322579322842984,9.743139436188434,12.115206698056797,55.385258548007684,18.436977477169002,11.403577110005605,10.091893628761719,2.763136121144297,1.919157114911675,42.233379270765944,18.60359589731431,13.344210416474874,14.801361137258858,5.6949204818307715,5.3225327963552544,62.948359683037935,28.47299314780079,4.710408452321709,1.6891245262795238,0.9072464877693986,1.2718677027906442,56.965728559774696,13.95916802176355,18.077384322358103,7.347657868033159,0.37995771012442775,3.270103517946065,59.45622039967656,32.657820261060415,4.757710523275962,0.5501328404759155,1.5197239228370105,1.0583920526741366,49.16517657640679,16.73683410218894,26.16148830676514,4.546129345585728,0.7833852107838611,2.606986458269541,85.34561327768984,7.233654722502038,1.5973521369981292,3.391375257830863,0.29740490238403605,2.134599702595098,70.99262573535505,6.679923771646367,10.287306321981937,7.009694258016406,0.3535918468804375,4.676858066119811,79.45499241592134,15.199539724881008,2.751189915790575,1.5325069302787804,0.15691197238349286,0.9048590407448088,70.5433658121414,9.265173081720398,8.93986529120871,6.60419754354557,0.3879481121692811,4.259450159214639
199193,North Carolina State University at Raleigh,480,310,4,95,7,11,53,169,97,27,3,4,3,35,649,407,31,98,11,14,88,151,69,220,3,19,22,52504.098639,122250.681159,52597.251462,66663.210738,45.848705849227585,18.574912595552483,13.008532577672277,12.720933442549033,4.932443154670156,4.914472380328479,18.473163583514555,12.65978041898509,12.31382617893228,21.705941756654816,14.134538487870394,20.712749574042867,46.48019359500032,18.83808700580572,12.743535038893292,12.90146144995873,4.6093751621618555,4.427347748180085,38.60075828785396,17.965248000079455,13.422350109890523,16.019291877720406,6.828838125199921,7.163513599255731,56.04228504695635,23.062138095469805,12.071796992847064,2.691474867403046,2.6908666244951585,3.4414383728285727,56.58592811189497,15.353677378217757,13.650074798289857,11.077504107774935,0.21826386220765312,3.1145517416148256,52.18823592111092,28.2217314693607,12.7273756824185,2.657726526302466,0.6708436174925637,3.534086783314847,52.69505652586324,21.81262510915703,17.756844264617733,4.883243863523827,0.303219713500806,2.5490105233373694,84.77751756440281,4.709862086911267,3.8511579495186052,4.111371324486079,0.33827738745771535,2.2118136872235232,63.19214586255259,17.638148667601683,8.97054698457223,6.6199158485273495,0.1514726507713885,3.4277699859747544,77.0246784845325,9.037191518943343,5.92937905089043,4.187368378008138,0.27193359095463004,3.5494489766709605,70.99623759426701,10.117809639923427,9.09597444653467,5.65877959032808,0.24604588810980488,3.8851528408369975
110635,University of California-Berkeley,486,269,35,121,6,5,50,421,188,134,1,3,2,93,907,457,169,122,9,7,143,244,178,422,32,130,162,85986.915289,104351.789326,67088.435455,62042.509686,29.62073504721169,16.602014245582627,13.580163587748084,18.76009671896978,9.626864174238897,11.81012622624892,25.76308450005339,14.471226862828384,12.311889028941387,18.81404552057031,11.013194707329117,17.626559380277428,37.73765268392131,17.25169388140624,12.956416187584004,16.23326992427236,7.668933996960696,8.152033325855374,40.47294503749633,18.495735437131263,13.471959967917643,15.41210534383426,6.138007126966998,6.009247086653497,25.273219085519337,5.7965785434150945,48.17921549454843,16.251171548921107,0.48206969728670335,4.0177456303093315,51.17877501891271,14.082304735067396,16.961536190066397,13.72317418534736,0.3433816767487577,3.710828193857377,27.04277287191328,6.232276978000192,52.087326455739145,10.730077569757672,0.682296087730122,3.2252500368595913,52.14450322220805,18.802637865322296,21.80263137983142,3.903152164748763,0.7751242511960326,2.5719511166934375,54.06088164708854,5.191360363774157,14.753063028925098,12.820512820512821,0.4462969980211359,12.727885141678245,68.38407108770775,8.1520487082442,9.485766002961988,7.693763370083923,0.4887279907849268,5.795622840217212,50.95949120180222,5.359276913144411,17.400651107844887,15.855300210167723,0.47802854434813663,9.94725202269262,72.44677356011057,9.03055752760449,8.937283808890836,5.501544491941453,0.36809132516653326,3.71574928628612
